Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_Every","Arduino_Nano",123.990000,-105.660000,0.000000,bottom
"C1","100nF","C_0805_2012Metric",111.200000,-75.600000,0.000000,top
"C2","100nF","C_0805_2012Metric",136.200000,-75.600000,0.000000,top
"C3","100nF","C_0805_2012Metric",161.200000,-75.600000,0.000000,top
"C4","100nF","C_0805_2012Metric",186.200000,-75.600000,0.000000,top
"C5","100nF","C_0805_2012Metric",211.200000,-75.600000,0.000000,top
"C6","100nF","C_0805_2012Metric",236.200000,-75.600000,0.000000,top
"C7","100nF","C_0805_2012Metric",261.200000,-75.600000,0.000000,top
"C8","100nF","C_0805_2012Metric",286.200000,-75.600000,0.000000,top
"C9","100nF","C_0805_2012Metric",111.200000,-100.600000,0.000000,top
"C10","100nF","C_0805_2012Metric",136.200000,-100.600000,0.000000,top
"C11","100nF","C_0805_2012Metric",161.200000,-100.600000,0.000000,top
"C12","100nF","C_0805_2012Metric",186.200000,-100.600000,0.000000,top
"C13","100nF","C_0805_2012Metric",211.200000,-100.600000,0.000000,top
"C14","100nF","C_0805_2012Metric",236.200000,-100.600000,0.000000,top
"C15","100nF","C_0805_2012Metric",261.200000,-100.600000,0.000000,top
"C16","100nF","C_0805_2012Metric",286.200000,-100.600000,0.000000,top
"C17","100nF","C_0805_2012Metric",111.200000,-125.600000,0.000000,top
"C18","100nF","C_0805_2012Metric",136.200000,-125.600000,0.000000,top
"C19","100nF","C_0805_2012Metric",161.200000,-125.600000,0.000000,top
"C20","100nF","C_0805_2012Metric",186.200000,-125.600000,0.000000,top
"C21","100nF","C_0805_2012Metric",211.200000,-125.600000,0.000000,top
"C22","100nF","C_0805_2012Metric",236.200000,-125.600000,0.000000,top
"C23","100nF","C_0805_2012Metric",261.200000,-125.600000,0.000000,top
"C24","100nF","C_0805_2012Metric",286.200000,-125.600000,0.000000,top
"C25","100nF","C_0805_2012Metric",111.200000,-150.600000,0.000000,top
"C26","100nF","C_0805_2012Metric",136.200000,-150.600000,0.000000,top
"C27","100nF","C_0805_2012Metric",161.200000,-150.600000,0.000000,top
"C28","100nF","C_0805_2012Metric",186.200000,-150.600000,0.000000,top
"C29","100nF","C_0805_2012Metric",211.200000,-150.600000,0.000000,top
"C30","100nF","C_0805_2012Metric",236.200000,-150.600000,0.000000,top
"C31","100nF","C_0805_2012Metric",261.200000,-150.600000,0.000000,top
"C32","100nF","C_0805_2012Metric",286.200000,-150.600000,0.000000,top
"C33","100nF","C_0805_2012Metric",111.200000,-175.600000,0.000000,top
"C34","100nF","C_0805_2012Metric",136.200000,-175.600000,0.000000,top
"C35","100nF","C_0805_2012Metric",161.200000,-175.600000,0.000000,top
"C36","100nF","C_0805_2012Metric",186.200000,-175.600000,0.000000,top
"C37","100nF","C_0805_2012Metric",211.200000,-175.600000,0.000000,top
"C38","100nF","C_0805_2012Metric",236.200000,-175.600000,0.000000,top
"C39","100nF","C_0805_2012Metric",261.200000,-175.600000,0.000000,top
"C40","100nF","C_0805_2012Metric",286.200000,-175.600000,0.000000,top
"C41","100nF","C_0805_2012Metric",111.200000,-200.600000,0.000000,top
"C42","100nF","C_0805_2012Metric",136.200000,-200.600000,0.000000,top
"C43","100nF","C_0805_2012Metric",161.200000,-200.600000,0.000000,top
"C44","100nF","C_0805_2012Metric",186.200000,-200.600000,0.000000,top
"C45","100nF","C_0805_2012Metric",211.200000,-200.600000,0.000000,top
"C46","100nF","C_0805_2012Metric",236.200000,-200.600000,0.000000,top
"C47","100nF","C_0805_2012Metric",261.200000,-200.600000,0.000000,top
"C48","100nF","C_0805_2012Metric",286.200000,-200.600000,0.000000,top
"C49","100nF","C_0805_2012Metric",111.200000,-225.600000,0.000000,top
"C50","100nF","C_0805_2012Metric",136.200000,-225.600000,0.000000,top
"C51","100nF","C_0805_2012Metric",161.200000,-225.600000,0.000000,top
"C52","100nF","C_0805_2012Metric",186.200000,-225.600000,0.000000,top
"C53","100nF","C_0805_2012Metric",211.200000,-225.600000,0.000000,top
"C54","100nF","C_0805_2012Metric",236.200000,-225.600000,0.000000,top
"C55","100nF","C_0805_2012Metric",261.200000,-225.600000,0.000000,top
"C56","100nF","C_0805_2012Metric",286.200000,-225.600000,0.000000,top
"C57","100nF","C_0805_2012Metric",111.200000,-250.600000,0.000000,top
"C58","100nF","C_0805_2012Metric",136.200000,-250.600000,0.000000,top
"C59","100nF","C_0805_2012Metric",161.200000,-250.600000,0.000000,top
"C60","100nF","C_0805_2012Metric",186.200000,-250.600000,0.000000,top
"C61","100nF","C_0805_2012Metric",211.200000,-250.600000,0.000000,top
"C62","100nF","C_0805_2012Metric",236.200000,-250.600000,0.000000,top
"C63","100nF","C_0805_2012Metric",261.200000,-250.600000,0.000000,top
"C64","100nF","C_0805_2012Metric",286.200000,-250.600000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-75.600000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-75.600000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-75.600000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-75.600000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-75.600000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-75.600000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-75.600000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-75.600000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-100.600000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-100.600000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-100.600000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-100.600000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-100.600000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-100.600000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-100.600000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-100.600000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-125.600000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-125.600000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-125.600000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-125.600000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-125.600000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-125.600000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-125.600000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-125.600000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-150.600000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-150.600000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-150.600000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-150.600000,0.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-150.600000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-150.600000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-150.600000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-150.600000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-175.600000,0.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-175.600000,0.000000,top
"D35","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-175.600000,0.000000,top
"D36","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-175.600000,0.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-175.600000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-175.600000,0.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-175.600000,0.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-175.600000,0.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-200.600000,0.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-200.600000,0.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-200.600000,0.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-200.600000,0.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-200.600000,0.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-200.600000,0.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-200.600000,0.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-200.600000,0.000000,top
"D49","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-225.600000,0.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-225.600000,0.000000,top
"D51","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-225.600000,0.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-225.600000,0.000000,top
"D53","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-225.600000,0.000000,top
"D54","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-225.600000,0.000000,top
"D55","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-225.600000,0.000000,top
"D56","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-225.600000,0.000000,top
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",103.800000,-250.600000,0.000000,top
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.800000,-250.600000,0.000000,top
"D59","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.800000,-250.600000,0.000000,top
"D60","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",178.800000,-250.600000,0.000000,top
"D61","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.800000,-250.600000,0.000000,top
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",228.800000,-250.600000,0.000000,top
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",253.800000,-250.600000,0.000000,top
"D64","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.800000,-250.600000,0.000000,top
"R1","10k","R_0805_2012Metric",103.800000,-80.100000,0.000000,top
"R2","330Ω","R_0805_2012Metric",128.800000,-80.100000,0.000000,top
"R3","10k","R_0805_2012Metric",153.687500,-81.200000,0.000000,top
"R4","10k","R_0805_2012Metric",178.800000,-80.100000,0.000000,top
"R5","10k","R_0805_2012Metric",203.800000,-80.100000,0.000000,top
"R6","10k","R_0805_2012Metric",228.800000,-80.100000,0.000000,top
"R7","10k","R_0805_2012Metric",253.800000,-80.100000,0.000000,top
"R8","10k","R_0805_2012Metric",278.800000,-80.100000,0.000000,top
"R9","10k","R_0805_2012Metric",103.800000,-105.100000,0.000000,top
"R10","10k","R_0805_2012Metric",128.800000,-105.100000,0.000000,top
"R11","10k","R_0805_2012Metric",153.800000,-105.100000,0.000000,top
"R12","10k","R_0805_2012Metric",178.800000,-105.100000,0.000000,top
"R13","10k","R_0805_2012Metric",203.800000,-105.100000,0.000000,top
"R14","10k","R_0805_2012Metric",228.800000,-105.100000,0.000000,top
"R15","10k","R_0805_2012Metric",253.800000,-105.100000,0.000000,top
"R16","10k","R_0805_2012Metric",278.800000,-105.100000,0.000000,top
"R17","10k","R_0805_2012Metric",103.800000,-130.100000,0.000000,top
"R18","10k","R_0805_2012Metric",128.800000,-130.100000,0.000000,top
"R19","10k","R_0805_2012Metric",153.800000,-130.100000,0.000000,top
"R20","10k","R_0805_2012Metric",178.800000,-130.100000,0.000000,top
"R21","10k","R_0805_2012Metric",203.800000,-130.100000,0.000000,top
"R22","10k","R_0805_2012Metric",228.800000,-130.100000,0.000000,top
"R23","10k","R_0805_2012Metric",253.800000,-130.100000,0.000000,top
"R24","10k","R_0805_2012Metric",278.800000,-130.100000,0.000000,top
"R25","10k","R_0805_2012Metric",103.800000,-155.100000,0.000000,top
